,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Lavrentiya,100,RU,1575570735,86,65.58,-170.99,14.23,20.47
1,Trincomalee,100,LK,1575570946,98,8.58,81.23,73.9,2.75
2,Palu,100,ID,1575570946,99,-0.9,119.87,68.81,1.57
3,Georgetown,40,GY,1575570689,70,6.8,-58.16,87.8,11.41
4,Kavaratti,61,IN,1575570737,75,10.57,72.64,82.74,7.83
5,Puerto Ayora,20,EC,1575570676,54,-0.74,-90.35,84.2,8.05
6,Yellowknife,75,CA,1575570381,75,62.45,-114.38,-14.01,5.82
7,Caxito,75,BR,1575570947,66,-22.65,-42.51,86.0,17.22
8,Hithadhoo,54,MV,1575570694,80,-0.6,73.08,83.08,10.8
9,Pevek,0,RU,1575570686,84,69.7,170.27,-0.74,2.53
10,Punta Arenas,75,CL,1575570677,57,-53.16,-70.91,51.8,34.45
11,Iqaluit,90,CA,1575570730,78,63.75,-68.52,10.4,14.99
12,Rikitea,0,PF,1575570676,84,-23.12,-134.97,77.41,7.45
13,Deloraine,40,AU,1575570947,70,-41.53,146.66,48.2,14.99
14,Sterling,40,US,1575570658,48,39.0,-77.4,48.2,16.11
15,Ilave,100,PE,1575570948,62,-16.09,-69.64,53.26,8.39
16,Cape Town,0,ZA,1575570677,47,-33.93,18.42,77.0,10.29
17,Tuktoyaktuk,75,CA,1575570682,84,69.44,-133.03,-0.4,17.22
18,San Felipe,0,CL,1575570948,20,-32.75,-70.73,93.0,1.01
19,Mogadishu,74,SO,1575570685,78,2.04,45.34,81.16,10.83
20,Saldanha,0,PT,1575570691,78,41.42,-6.55,46.31,11.86
21,Manado,20,ID,1575570948,94,1.49,124.85,75.2,2.24
22,Cabo San Lucas,5,MX,1575570676,78,22.89,-109.91,80.01,3.36
23,Bluff,0,AU,1575570675,77,-23.58,149.07,74.98,3.53
24,Kaitangata,49,NZ,1575570691,77,-46.28,169.85,51.67,12.15
25,Port Hedland,13,AU,1575570714,94,-20.31,118.58,77.0,8.05
26,Pouembout,98,NC,1575570949,91,-21.12,164.9,66.83,1.7
